title,skills,education,sector,location
Data Analyst,Python;Excel;SQL,UG,IT,Bangalore
Marketing Intern,Communication;Social Media;Creativity,UG,Marketing,Delhi
Web Developer,HTML;CSS;JavaScript;Python,UG,IT,Mumbai
Healthcare Assistant,Biology;Nursing;Care,UG,Healthcare,Chennai
AI Research Intern,Python;ML;AI,PG,IT,Hyderabad
Teacher Assistant,Teaching;Communication,UG,Education,Kolkata
Civil Engineer Intern,AutoCAD;Design;Maths,UG,Engineering,Pune
Content Writer,Writing;Creativity;SEO,UG,Media,Delhi
Finance Analyst,Excel;Accounting;Finance,PG,Finance,Mumbai
Rural Development Intern,Community;Fieldwork;Survey,UG,Development,Bhubaneswar
